Category,Lines,City,Country,Date,Manager,Quantity sold,Sales Revenue,Gross Margin,Discount,Customer Satisfaction,Number of Issues reported,Comments,GMR,Year-Quarter
Long sleeve,Shirt Waist,Frankfurt,Germany,7/23/2016  12:00:00 AM,Mary Smith,"5,800.00","19,241.00","7,448.00",670.50,0.84,17.00,Behaviour of personnel,0.39,2016-Q3
Long sleeve,Shirt Waist,Berlin,Germany,7/17/2016  12:00:00 AM,Mary Smith,"5,050.00","15,877.00","5,599.00",253.89,0.85,21.00,Other / unknown,0.35,2016-Q3
Short sleeve,Shirt Waist,Frankfurt,Germany,7/24/2016  12:00:00 AM,Mary Smith,"4,150.00","14,315.00","4,888.00",903.87,0.82,12.00,Item not as described,0.34,2016-Q3
Short sleeve,Shirt Waist,Berlin,Germany,9/24/2016  12:00:00 AM,Mary Smith,"2,700.00","8,952.00","2,513.00",13.14,0.87,17.00,Behaviour of personnel,0.28,2016-Q3
2 Pocket shirts,Shirt Waist,Frankfurt,Germany,9/30/2016  12:00:00 AM,Mary Smith,"3,950.00","14,068.00","3,790.00",582.15,0.94,11.00,Behaviour of personnel,0.27,2016-Q3
2 Pocket shirts,Shirt Waist,Berlin,Germany,9/28/2016  12:00:00 AM,Mary Smith,"5,550.00","19,317.00","4,547.00","1,598.60",0.92,12.00,Item not as described,0.24,2016-Q3
Long sleeve,Shirt Waist,Tokyo,Japan,7/28/2016  12:00:00 AM,Mayumi Mai,"3,900.00","12,787.00","4,627.00",559.44,0.83,15.00,Behaviour of personnel,0.36,2016-Q3
Long sleeve,Shirt Waist,Osaka,Japan,8/1/2016  12:00:00 AM,Mayumi Mai,"2,500.00","7,894.00","2,701.00",246.70,0.91,22.00,Item defect / bad quality,0.34,2016-Q3
Short sleeve,Shirt Waist,Osaka,Japan,8/14/2016  12:00:00 AM,Mayumi Mai,"2,550.00","8,404.00","2,580.00",472.77,0.90,16.00,Price too high / competition,0.31,2016-Q3
2 Pocket shirts,Shirt Waist,Osaka,Japan,9/10/2016  12:00:00 AM,Mayumi Mai,"4,200.00","16,339.00","4,911.00",816.96,0.95,21.00,Behaviour of personnel,0.30,2016-Q3
Short sleeve,Shirt Waist,Tokyo,Japan,9/30/2016  12:00:00 AM,Mayumi Mai,"3,100.00","9,979.00","2,879.00",561.33,0.81,22.00,Behaviour of personnel,0.29,2016-Q3
2 Pocket shirts,Shirt Waist,Tokyo,Japan,9/23/2016  12:00:00 AM,Mayumi Mai,"6,800.00","22,698.00","5,068.00",993.09,0.90,14.00,Customer service,0.22,2016-Q3
Long sleeve,Shirt Waist,Barcelona,Spain,9/25/2016  12:00:00 AM,Nancy Miller,"3,000.00","9,539.00","3,263.00",344.56,0.89,15.00,Customer service,0.34,2016-Q3
Long sleeve,Shirt Waist,Madrid,Spain,9/17/2016  12:00:00 AM,Nancy Miller,"7,150.00","23,700.00","8,066.00",243.25,0.93,18.00,Price too high / competition,0.34,2016-Q3
Short sleeve,Shirt Waist,Barcelona,Spain,9/20/2016  12:00:00 AM,Nancy Miller,"3,050.00","10,155.00","3,117.00",194.60,0.86,18.00,Item defect / bad quality,0.31,2016-Q3
2 Pocket shirts,Shirt Waist,Barcelona,Spain,7/31/2016  12:00:00 AM,Nancy Miller,"5,100.00","19,743.00","5,934.00",980.34,0.91,15.00,Customer service,0.30,2016-Q3
Short sleeve,Shirt Waist,Madrid,Spain,7/25/2016  12:00:00 AM,Nancy Miller,"7,150.00","23,474.00","6,686.00",261.10,0.86,23.00,Item not as described,0.28,2016-Q3
2 Pocket shirts,Shirt Waist,Madrid,Spain,9/4/2016  12:00:00 AM,Nancy Miller,"6,350.00","22,697.00","6,091.00","1,878.40",0.86,23.00,Customer service,0.27,2016-Q3
Long sleeve,Shirt Waist,Mexico City,Mexico,8/28/2016  12:00:00 AM,Nelly Wood,"4,750.00","16,117.00","6,284.00","1,312.80",0.95,25.00,Other / unknown,0.39,2016-Q3
Short sleeve,Shirt Waist,Mexico City,Mexico,7/3/2016  12:00:00 AM,Nelly Wood,"3,700.00","12,840.00","4,255.00","1,500.78",0.83,25.00,Item not as described,0.33,2016-Q3
2 Pocket shirts,Shirt Waist,Mexico City,Mexico,7/18/2016  12:00:00 AM,Nelly Wood,"5,100.00","18,565.00","5,042.00","2,291.68",0.85,14.00,Customer service,0.27,2016-Q3
Long sleeve,Shirt Waist,Caracas,Venezuela,7/31/2016  12:00:00 AM,Nina Smith,"2,400.00","7,962.00","3,082.00",167.45,0.81,24.00,Item defect / bad quality,0.39,2016-Q3
Short sleeve,Shirt Waist,Caracas,Venezuela,7/20/2016  12:00:00 AM,Nina Smith,"1,750.00","5,924.00","2,023.00",333.45,0.83,17.00,Price too high / competition,0.34,2016-Q3
2 Pocket shirts,Shirt Waist,Caracas,Venezuela,7/13/2016  12:00:00 AM,Nina Smith,"1,650.00","5,822.00","1,569.00","1,126.53",0.95,12.00,Item defect / bad quality,0.27,2016-Q3
Long sleeve,Shirt Waist,Bangkok,Thailand,8/23/2016  12:00:00 AM,Rita San,"2,250.00","7,563.00","3,048.00",425.43,0.89,17.00,Item not as described,0.40,2016-Q3
Short sleeve,Shirt Waist,Bangkok,Thailand,9/15/2016  12:00:00 AM,Rita San,"1,600.00","5,797.00","2,213.00",362.40,0.95,11.00,Item defect / bad quality,0.38,2016-Q3
2 Pocket shirts,Shirt Waist,Bangkok,Thailand,7/30/2016  12:00:00 AM,Rita San,"2,100.00","7,718.00","2,134.00",482.40,0.95,16.00,Other / unknown,0.28,2016-Q3
Long sleeve,Shirt Waist,Buenos Aires,Argentina,8/31/2016  12:00:00 AM,Rose Sims,"3,200.00","9,314.00","2,951.00","1,616.48",0.81,19.00,Other / unknown,0.32,2016-Q3
Short sleeve,Shirt Waist,Buenos Aires,Argentina,9/21/2016  12:00:00 AM,Rose Sims,"2,650.00","8,642.00","2,566.00","1,621.00",0.93,18.00,Price too high / competition,0.30,2016-Q3
2 Pocket shirts,Shirt Waist,Buenos Aires,Argentina,9/28/2016  12:00:00 AM,Rose Sims,"3,900.00","13,134.00","2,918.00","2,039.92",0.86,21.00,Price too high / competition,0.22,2016-Q3
Long sleeve,Shirt Waist,Pretoria,South Africa,9/7/2016  12:00:00 AM,Sarah Am,"1,400.00","4,727.00","1,905.00",504.24,0.81,23.00,Price too high / competition,0.40,2016-Q3
Long sleeve,Shirt Waist,Johannesburg,South Africa,8/16/2016  12:00:00 AM,Sarah Am,"5,950.00","20,146.00","7,854.00","2,417.49",0.85,15.00,Other / unknown,0.39,2016-Q3
Short sleeve,Shirt Waist,Pretoria,South Africa,9/4/2016  12:00:00 AM,Sarah Am,"1,000.00","3,624.00","1,383.00",289.86,0.81,21.00,Behaviour of personnel,0.38,2016-Q3
Long sleeve,Shirt Waist,Durban,South Africa,9/6/2016  12:00:00 AM,Sarah Am,"2,600.00","8,213.00","2,896.00",766.50,0.87,21.00,Price too high / competition,0.35,2016-Q3
Long sleeve,Shirt Waist,Cape Town,South Africa,9/25/2016  12:00:00 AM,Sarah Am,"1,550.00","4,934.00","1,688.00",328.95,0.85,21.00,Other / unknown,0.34,2016-Q3
Short sleeve,Shirt Waist,Johannesburg,South Africa,8/23/2016  12:00:00 AM,Sarah Am,"4,600.00","16,050.00","5,319.00","1,069.95",0.84,24.00,Other / unknown,0.33,2016-Q3
Short sleeve,Shirt Waist,Cape Town,South Africa,9/10/2016  12:00:00 AM,Sarah Am,"1,600.00","5,253.00","1,613.00",560.24,0.83,20.00,Other / unknown,0.31,2016-Q3
2 Pocket shirts,Shirt Waist,Cape Town,South Africa,8/18/2016  12:00:00 AM,Sarah Am,"2,650.00","10,212.00","3,069.00",953.12,0.90,18.00,Item not as described,0.30,2016-Q3
Short sleeve,Shirt Waist,Durban,South Africa,8/5/2016  12:00:00 AM,Sarah Am,"1,400.00","4,630.00","1,300.00",493.92,0.95,13.00,Customer service,0.28,2016-Q3
2 Pocket shirts,Shirt Waist,Pretoria,South Africa,7/21/2016  12:00:00 AM,Sarah Am,"1,350.00","4,824.00","1,334.00",321.55,0.95,23.00,Customer service,0.28,2016-Q3
2 Pocket shirts,Shirt Waist,Johannesburg,South Africa,8/12/2016  12:00:00 AM,Sarah Am,"6,350.00","23,206.00","6,303.00","2,784.78",0.85,23.00,Item defect / bad quality,0.27,2016-Q3
2 Pocket shirts,Shirt Waist,Durban,South Africa,9/1/2016  12:00:00 AM,Sarah Am,"2,850.00","9,992.00","2,352.00",932.54,0.92,21.00,Behaviour of personnel,0.24,2016-Q3
Long sleeve,Shirt Waist,Copenhagen,Denmark,8/31/2016  12:00:00 AM,Susan Karman,"1,150.00","3,782.00","1,524.00","2,637.67",0.84,15.00,Price too high / competition,0.40,2016-Q3
Short sleeve,Shirt Waist,Copenhagen,Denmark,9/9/2016  12:00:00 AM,Susan Karman,800.00,"2,899.00","1,107.00","5,168.80",0.92,13.00,Other / unknown,0.38,2016-Q3
2 Pocket shirts,Shirt Waist,Copenhagen,Denmark,9/20/2016  12:00:00 AM,Susan Karman,"1,050.00","3,859.00","1,067.00","2,141.80",0.84,15.00,Item not as described,0.28,2016-Q3
Long sleeve,Shirt Waist,Singapore,Singapore,7/16/2016  12:00:00 AM,Vicky Zin,"2,650.00","8,673.00","3,140.00",433.68,0.92,16.00,Behaviour of personnel,0.36,2016-Q3
Short sleeve,Shirt Waist,Singapore,Singapore,9/29/2016  12:00:00 AM,Vicky Zin,"2,950.00","10,040.00","3,180.00",376.50,0.87,12.00,Behaviour of personnel,0.32,2016-Q3
2 Pocket shirts,Shirt Waist,Singapore,Singapore,9/24/2016  12:00:00 AM,Vicky Zin,"2,300.00","8,069.00","2,090.00",504.30,0.87,23.00,Item not as described,0.26,2016-Q3
Turtleneck,Sweaters,Nairobi,Kenya,7/1/2016  12:00:00 AM,Anne Coke,"5,700.00","13,682.00","4,202.00","1,459.44",0.82,23.00,Item defect / bad quality,0.31,2016-Q3
Soft fabric,Sweaters,Nairobi,Kenya,9/23/2016  12:00:00 AM,Anne Coke,"2,300.00","6,831.00","2,026.00",637.56,0.83,23.00,Behaviour of personnel,0.30,2016-Q3
Turtleneck,Sweaters,Shanghai,China,8/29/2016  12:00:00 AM,Coe Li,"9,100.00","21,891.00","6,722.00","1,368.20",0.94,24.00,Item not as described,0.31,2016-Q3
Soft fabric,Sweaters,Shanghai,China,8/21/2016  12:00:00 AM,Coe Li,"3,700.00","10,929.00","3,241.00",614.79,0.89,25.00,Item defect / bad quality,0.30,2016-Q3
Turtleneck,Sweaters,Santiago,Chile,9/6/2016  12:00:00 AM,David Carl,"8,400.00","20,904.00","6,546.00",813.51,0.93,16.00,Behaviour of personnel,0.31,2016-Q3
Soft fabric,Sweaters,Santiago,Chile,7/18/2016  12:00:00 AM,David Carl,"2,300.00","6,470.00","1,851.00",229.25,0.90,16.00,Item defect / bad quality,0.29,2016-Q3
Cardigan,Sweaters,Santiago,Chile,7/6/2016  12:00:00 AM,David Carl,600.00,678.00,546.00,24.24,0.86,18.00,Item defect / bad quality,0.81,2016-Q3
Soft fabric,Sweaters,Amsterdam,Netherlands,8/6/2016  12:00:00 AM,Dell Grass,"4,100.00","13,324.00","4,490.00",860.20,0.91,24.00,Other / unknown,0.34,2016-Q3
Turtleneck,Sweaters,Amsterdam,Netherlands,7/31/2016  12:00:00 AM,Dell Grass,"8,450.00","22,300.00","7,320.00",106.26,0.83,11.00,Item not as described,0.33,2016-Q3
Cardigan,Sweaters,Amsterdam,Netherlands,8/13/2016  12:00:00 AM,Dell Grass,800.00,"1,355.00",312.00,78.54,0.92,22.00,Other / unknown,0.23,2016-Q3
Turtleneck,Sweaters,Milan,Italy,9/27/2016  12:00:00 AM,Don Wilson,"14,400.00","36,888.00","12,056.00",522.63,0.87,18.00,Customer service,0.33,2016-Q3
Turtleneck,Sweaters,Rome,Italy,7/5/2016  12:00:00 AM,Don Wilson,"20,300.00","50,518.00","15,819.00",140.64,0.93,19.00,Item not as described,0.31,2016-Q3
Soft fabric,Sweaters,Rome,Italy,8/11/2016  12:00:00 AM,Don Wilson,"5,550.00","15,636.00","4,474.00","1,667.36",0.81,15.00,Behaviour of personnel,0.29,2016-Q3
Soft fabric,Sweaters,Milan,Italy,8/21/2016  12:00:00 AM,Don Wilson,"5,700.00","15,505.00","3,659.00","1,286.70",0.86,12.00,Other / unknown,0.24,2016-Q3
Cardigan,Sweaters,Milan,Italy,7/10/2016  12:00:00 AM,Don Wilson,150.00,220.00,90.00,18.30,0.90,16.00,Other / unknown,0.41,2016-Q3
Cardigan,Sweaters,Rome,Italy,9/1/2016  12:00:00 AM,Don Wilson,"1,450.00","1,638.00","1,319.00",67.75,0.84,13.00,Other / unknown,0.81,2016-Q3
Turtleneck,Sweaters,Melbourne,Australia,9/12/2016  12:00:00 AM,Ed Young,"13,300.00","34,623.00","11,102.00","1,947.51",0.93,18.00,Other / unknown,0.32,2016-Q3
Turtleneck,Sweaters,Sydney,Australia,8/16/2016  12:00:00 AM,Ed Young,"7,150.00","16,926.00","4,594.00",528.95,0.84,14.00,Other / unknown,0.27,2016-Q3
Cardigan,Sweaters,Sydney,Australia,9/25/2016  12:00:00 AM,Ed Young,400.00,911.00,239.00,39.83,0.87,22.00,Behaviour of personnel,0.26,2016-Q3
Soft fabric,Sweaters,Melbourne,Australia,7/3/2016  12:00:00 AM,Ed Young,"7,000.00","19,634.00","5,001.00","1,227.10",0.93,22.00,Item not as described,0.25,2016-Q3
Soft fabric,Sweaters,Sydney,Australia,8/28/2016  12:00:00 AM,Ed Young,"4,100.00","10,400.00","2,223.00",325.00,0.92,16.00,Item defect / bad quality,0.21,2016-Q3
Cardigan,Sweaters,Melbourne,Australia,9/3/2016  12:00:00 AM,Ed Young,450.00,809.00,58.00,30.36,0.84,18.00,Behaviour of personnel,0.07,2016-Q3
Cardigan,Sweaters,Marseille,France,7/12/2016  12:00:00 AM,Ellen Grey,358.00,"4,185.19","1,885.16",200.06,0.57,76.00,Item defect / bad quality,0.45,2016-Q3
Turtleneck,Sweaters,Paris,France,7/28/2016  12:00:00 AM,Ellen Grey,"15,893.00","42,497.00","14,639.95",698.52,0.68,59.00,Item not as described,0.34,2016-Q3
Soft fabric,Sweaters,Marseille,France,7/10/2016  12:00:00 AM,Ellen Grey,"1,820.00","5,972.85","2,013.05",633.48,0.68,93.00,Item defect / bad quality,0.34,2016-Q3
Turtleneck,Sweaters,Marseille,France,7/28/2016  12:00:00 AM,Ellen Grey,"3,770.00","9,996.35","3,281.20",136.95,0.56,68.00,Item not as described,0.33,2016-Q3
Turtleneck,Sweaters,Toulouse,France,8/15/2016  12:00:00 AM,Ellen Grey,"5,395.00","14,065.35","4,510.35","1,912.24",0.66,96.00,Customer service,0.32,2016-Q3
Turtleneck,Sweaters,Lyon,France,8/27/2016  12:00:00 AM,Ellen Grey,"4,908.00","11,857.95","3,641.30",160.93,0.53,63.00,Other / unknown,0.31,2016-Q3
Soft fabric,Sweaters,Lyon,France,9/9/2016  12:00:00 AM,Ellen Grey,"1,983.00","5,920.20","1,755.65",78.13,0.64,25.00,Item defect / bad quality,0.30,2016-Q3
Soft fabric,Sweaters,Paris,France,9/22/2016  12:00:00 AM,Ellen Grey,"6,110.00","16,588.00","4,447.30","1,633.71",0.55,56.00,Item defect / bad quality,0.27,2016-Q3
Soft fabric,Sweaters,Toulouse,France,8/12/2016  12:00:00 AM,Ellen Grey,"2,828.00","7,976.15","2,031.90","1,848.00",0.66,47.00,Price too high / competition,0.25,2016-Q3
Cardigan,Sweaters,Toulouse,France,7/19/2016  12:00:00 AM,Ellen Grey,195.00,328.90,23.40,177.60,0.72,94.00,Item not as described,0.07,2016-Q3
Cardigan,Sweaters,Paris,France,7/7/2016  12:00:00 AM,Ellen Grey,943.00,"1,602.25",328.25,34.45,0.62,65.00,Customer service,0.20,2016-Q3
Turtleneck,Sweaters,Alexandria,Egypt,8/14/2016  12:00:00 AM,Gabriel Walton,"12,650.00","33,817.00","11,650.00","2,254.50",0.94,24.00,Behaviour of personnel,0.34,2016-Q3
Turtleneck,Sweaters,Cairo,Egypt,8/15/2016  12:00:00 AM,Gabriel Walton,"10,500.00","26,130.00","8,182.00","2,090.40",0.83,23.00,Price too high / competition,0.31,2016-Q3
Soft fabric,Sweaters,Cairo,Egypt,9/12/2016  12:00:00 AM,Gabriel Walton,"2,850.00","8,088.00","2,314.00","1,078.40",0.81,17.00,Customer service,0.29,2016-Q3
Soft fabric,Sweaters,Alexandria,Egypt,8/28/2016  12:00:00 AM,Gabriel Walton,"4,850.00","13,200.00","3,539.00","1,584.00",0.88,14.00,Customer service,0.27,2016-Q3
Cardigan,Sweaters,Alexandria,Egypt,8/6/2016  12:00:00 AM,Gabriel Walton,750.00,"1,275.00",261.00,170.00,0.84,15.00,Item not as described,0.20,2016-Q3
Cardigan,Sweaters,Cairo,Egypt,9/8/2016  12:00:00 AM,Gabriel Walton,750.00,847.00,682.00,56.45,0.87,16.00,Behaviour of personnel,0.81,2016-Q3
Turtleneck,Sweaters,Sao Paulo,Brasil,8/31/2016  12:00:00 AM,Gary Dumin,"5,950.00","15,264.00","4,989.00",421.02,0.84,21.00,Other / unknown,0.33,2016-Q3
Turtleneck,Sweaters,Rio de Janeiro,Brasil,9/5/2016  12:00:00 AM,Gary Dumin,"6,650.00","17,312.00","5,551.00",389.10,0.84,24.00,Customer service,0.32,2016-Q3
Soft fabric,Sweaters,Rio de Janeiro,Brasil,7/18/2016  12:00:00 AM,Gary Dumin,"3,500.00","9,817.00","2,501.00",940.72,0.95,15.00,Price too high / competition,0.25,2016-Q3
Soft fabric,Sweaters,Sao Paulo,Brasil,7/24/2016  12:00:00 AM,Gary Dumin,"2,350.00","6,416.00","1,514.00",156.90,0.95,21.00,Price too high / competition,0.24,2016-Q3
Cardigan,Sweaters,Rio de Janeiro,Brasil,8/4/2016  12:00:00 AM,Gary Dumin,250.00,405.00,29.00,432.90,0.91,23.00,Behaviour of personnel,0.07,2016-Q3
Cardigan,Sweaters,Sao Paulo,Brasil,7/24/2016  12:00:00 AM,Gary Dumin,100.00,92.00,38.00,314.01,0.87,22.00,Customer service,0.41,2016-Q3
Turtleneck,Sweaters,Casablanca,Morocco,7/21/2016  12:00:00 AM,Gavin Boje,"7,450.00","19,080.00","6,236.00","1,780.80",0.91,12.00,Other / unknown,0.33,2016-Q3
Soft fabric,Sweaters,Casablanca,Morocco,7/7/2016  12:00:00 AM,Gavin Boje,"2,950.00","8,020.00","1,893.00",641.58,0.81,25.00,Price too high / competition,0.24,2016-Q3
Cardigan,Sweaters,Casablanca,Morocco,8/27/2016  12:00:00 AM,Gavin Boje,100.00,114.00,47.00,13.68,0.88,24.00,Behaviour of personnel,0.41,2016-Q3
Cardigan,Sweaters,Miami,USA,7/1/2016  12:00:00 AM,James Frank,250.00,"5,130.75","1,581.75",137.09,0.88,22.00,Behaviour of personnel,0.31,2016-Q3
Cardigan,Sweaters,Dallas,USA,7/11/2016  12:00:00 AM,James Frank,300.00,532.50,146.81,148.01,0.92,12.00,Item defect / bad quality,0.28,2016-Q3
Turtleneck,Sweaters,Miami,USA,7/7/2016  12:00:00 AM,James Frank,"10,350.00","27,585.00","6,258.83","6,096.29",0.81,14.00,Item defect / bad quality,0.23,2016-Q3
Turtleneck,Sweaters,Houston,USA,7/31/2016  12:00:00 AM,James Frank,"16,850.00","45,090.00","9,758.11","9,378.72",0.84,17.00,Customer service,0.22,2016-Q3
Soft fabric,Sweaters,Austin,USA,7/31/2016  12:00:00 AM,James Frank,"3,800.00","10,784.00","2,147.91","2,102.88",0.90,22.00,Behaviour of personnel,0.20,2016-Q3
Turtleneck,Sweaters,Austin,USA,7/17/2016  12:00:00 AM,James Frank,"14,000.00","34,840.00","6,886.12","7,246.72",0.91,14.00,Item not as described,0.20,2016-Q3
Cardigan,Sweaters,Austin,USA,9/24/2016  12:00:00 AM,James Frank,"1,000.00","1,500.00",289.69,249.51,0.89,25.00,Item not as described,0.19,2016-Q3
Soft fabric,Sweaters,Miami,USA,7/30/2016  12:00:00 AM,James Frank,"1,500.00","4,658.00",855.43,"1,211.08",0.87,18.00,Customer service,0.18,2016-Q3
Soft fabric,Sweaters,Houston,USA,8/6/2016  12:00:00 AM,James Frank,"6,450.00","17,600.00","2,802.62","4,804.80",0.91,15.00,Price too high / competition,0.16,2016-Q3
Turtleneck,Sweaters,Dallas,USA,7/5/2016  12:00:00 AM,James Frank,"5,950.00","14,105.00","2,206.10","4,584.13",0.81,25.00,Behaviour of personnel,0.16,2016-Q3
Soft fabric,Sweaters,Dallas,USA,7/21/2016  12:00:00 AM,James Frank,"3,400.00","8,667.00","1,037.96","1,915.41",0.91,14.00,Customer service,0.12,2016-Q3
Cardigan,Sweaters,Houston,USA,7/13/2016  12:00:00 AM,James Frank,"1,000.00","2,958.75",310.50,331.50,0.85,20.00,Item defect / bad quality,0.10,2016-Q3
Turtleneck,Sweaters,Moscow,Russia,7/2/2016  12:00:00 AM,Janet Bury,"15,050.00","39,998.00","13,816.00","2,073.82",0.85,14.00,Customer service,0.35,2016-Q3
Soft fabric,Sweaters,Moscow,Russia,7/10/2016  12:00:00 AM,Janet Bury,"2,200.00","6,754.00","2,255.00","3,369.60",0.93,19.00,Customer service,0.33,2016-Q3
Cardigan,Sweaters,Moscow,Russia,7/25/2016  12:00:00 AM,Janet Bury,400.00,"1,019.00",166.00,59.01,0.91,14.00,Price too high / competition,0.16,2016-Q3
Turtleneck,Sweaters,"Bogota, D.C.",Colombia,8/16/2016  12:00:00 AM,Jay Jones,"5,150.00","14,449.00","5,132.00",354.55,0.90,20.00,Customer service,0.36,2016-Q3
Soft fabric,Sweaters,"Bogota, D.C.",Colombia,9/12/2016  12:00:00 AM,Jay Jones,"1,100.00","3,168.00","1,016.00",97.29,0.89,24.00,Customer service,0.32,2016-Q3
Cardigan,Sweaters,"Bogota, D.C.",Colombia,7/10/2016  12:00:00 AM,Jay Jones,450.00,858.00,95.00,312.78,0.82,15.00,Item not as described,0.11,2016-Q3
Turtleneck,Sweaters,London,United Kingdom,9/21/2016  12:00:00 AM,John Minker,"71,450.00","180,843.00","58,181.00",468.24,0.85,17.00,Price too high / competition,0.32,2016-Q3
Turtleneck,Sweaters,Liverpool,United Kingdom,9/3/2016  12:00:00 AM,John Minker,"10,000.00","24,905.00","7,266.00","1,400.94",0.81,17.00,Item not as described,0.29,2016-Q3
Soft fabric,Sweaters,London,United Kingdom,9/30/2016  12:00:00 AM,John Minker,"15,050.00","43,509.00","12,311.00","1,489.25",0.89,23.00,Price too high / competition,0.28,2016-Q3
Soft fabric,Sweaters,Liverpool,United Kingdom,9/5/2016  12:00:00 AM,John Minker,"5,250.00","14,653.00","3,691.00",824.31,0.92,12.00,Item defect / bad quality,0.25,2016-Q3
Cardigan,Sweaters,Liverpool,United Kingdom,9/3/2016  12:00:00 AM,John Minker,"1,000.00","1,991.00",126.00,74.70,0.84,24.00,Price too high / competition,0.06,2016-Q3
Cardigan,Sweaters,London,United Kingdom,8/2/2016  12:00:00 AM,John Minker,"2,650.00","4,502.00","1,205.00",372.60,0.85,14.00,Behaviour of personnel,0.27,2016-Q3
Turtleneck,Sweaters,Lisbon,Portugal,9/17/2016  12:00:00 AM,Julie Jones,"8,650.00","20,452.00","5,551.00",716.95,0.91,22.00,Price too high / competition,0.27,2016-Q3
Cardigan,Sweaters,Lisbon,Portugal,9/15/2016  12:00:00 AM,Julie Jones,450.00,"1,100.00",289.00,63.77,0.90,16.00,Customer service,0.26,2016-Q3
Soft fabric,Sweaters,Lisbon,Portugal,9/24/2016  12:00:00 AM,Julie Jones,"4,950.00","12,567.00","2,686.00","3,292.80",0.90,22.00,Customer service,0.21,2016-Q3
Turtleneck,Sweaters,Delhi,India,7/23/2016  12:00:00 AM,Kiran Raj,"20,250.00","54,108.00","18,640.00","3,043.53",0.91,14.00,Item defect / bad quality,0.34,2016-Q3
Turtleneck,Sweaters,Mumbai,India,8/24/2016  12:00:00 AM,Kiran Raj,"59,100.00","149,663.00","48,150.00","7,483.20",0.93,15.00,Other / unknown,0.32,2016-Q3
Soft fabric,Sweaters,Mumbai,India,9/11/2016  12:00:00 AM,Kiran Raj,"12,450.00","36,008.00","10,188.00","2,025.45",0.82,11.00,Behaviour of personnel,0.28,2016-Q3
Soft fabric,Sweaters,Delhi,India,9/3/2016  12:00:00 AM,Kiran Raj,"7,750.00","21,120.00","5,662.00","1,320.00",0.84,20.00,Behaviour of personnel,0.27,2016-Q3
Cardigan,Sweaters,Delhi,India,8/24/2016  12:00:00 AM,Kiran Raj,"1,200.00","2,040.00",418.00,89.25,0.93,22.00,Behaviour of personnel,0.20,2016-Q3
Cardigan,Sweaters,Mumbai,India,8/20/2016  12:00:00 AM,Kiran Raj,"2,200.00","3,726.00",998.00,186.32,0.93,16.00,Customer service,0.27,2016-Q3
Turtleneck,Sweaters,Lima,Peru,9/12/2016  12:00:00 AM,Larry Hill,"5,000.00","12,453.00","3,633.00",178.56,0.85,18.00,Item defect / bad quality,0.29,2016-Q3
Soft fabric,Sweaters,Lima,Peru,9/21/2016  12:00:00 AM,Larry Hill,"2,650.00","7,327.00","1,846.00",241.65,0.91,11.00,Other / unknown,0.25,2016-Q3
Cardigan,Sweaters,Lima,Peru,8/13/2016  12:00:00 AM,Larry Hill,500.00,996.00,63.00,351.80,0.83,20.00,Item defect / bad quality,0.06,2016-Q3
Cardigan,Sweaters,Chicago,USA,9/29/2016  12:00:00 AM,Lia Armand,750.00,684.75,423.00,242.93,0.92,19.00,Behaviour of personnel,0.62,2016-Q3
Cardigan,Sweaters,New York,USA,8/26/2016  12:00:00 AM,Lia Armand,"1,800.00","7,174.50","3,201.00",745.20,0.88,24.00,Other / unknown,0.45,2016-Q3
Cardigan,Sweaters,Washington,USA,9/26/2016  12:00:00 AM,Lia Armand,800.00,717.75,261.00,348.39,0.83,19.00,Customer service,0.36,2016-Q3
Turtleneck,Sweaters,Chicago,USA,8/6/2016  12:00:00 AM,Lia Armand,"8,550.00","24,081.00","8,204.07","5,297.82",0.92,17.00,Price too high / competition,0.34,2016-Q3
Turtleneck,Sweaters,Los Angeles,USA,7/8/2016  12:00:00 AM,Lia Armand,"11,050.00","28,852.00","9,063.54","5,193.36",0.88,16.00,Behaviour of personnel,0.31,2016-Q3
Turtleneck,Sweaters,New York,USA,9/23/2016  12:00:00 AM,Lia Armand,"49,250.00","124,719.00","38,446.40","28,685.37",0.90,16.00,Behaviour of personnel,0.31,2016-Q3
Soft fabric,Sweaters,Chicago,USA,7/27/2016  12:00:00 AM,Lia Armand,"1,800.00","5,279.00","1,619.86","1,003.01",0.85,21.00,Price too high / competition,0.31,2016-Q3
Turtleneck,Sweaters,San Francisco,USA,7/5/2016  12:00:00 AM,Lia Armand,"9,900.00","25,440.00","7,340.87","5,088.00",0.93,21.00,Item defect / bad quality,0.29,2016-Q3
Soft fabric,Sweaters,New York,USA,8/31/2016  12:00:00 AM,Lia Armand,"10,350.00","30,007.00","8,367.06","6,001.40",0.81,16.00,Price too high / competition,0.28,2016-Q3
Cardigan,Sweaters,Los Angeles,USA,7/12/2016  12:00:00 AM,Lia Armand,350.00,"1,080.75",294.75,101.25,0.88,16.00,Item defect / bad quality,0.27,2016-Q3
Turtleneck,Sweaters,Washington,USA,9/23/2016  12:00:00 AM,Lia Armand,"8,300.00","20,754.00","5,308.63","4,358.34",0.91,15.00,Other / unknown,0.26,2016-Q3
Soft fabric,Sweaters,Washington,USA,8/23/2016  12:00:00 AM,Lia Armand,"4,350.00","12,211.00","3,047.95","2,320.09",0.93,20.00,Customer service,0.25,2016-Q3
